indice,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet,clasificacion
1,2021-01-24 02:42:32+00:00,Jonathan pablo milanes llano,"Lima, Peru",31,0,0,[],@votante_curiosa @Luccio_lpx @George_Forsyth En efecto este sujeto lo único que hizo es abandonar al distrito como de la fan de lograr ser presidente pues el cargo le llama más la atención,-1
2,2021-01-24 02:41:03+00:00,Lalita,,0,0,0,[],@carceparo @SalitaSin @George_Forsyth Jajajjajajaja burro...... 😂 😂 😂 😂,-1
3,2021-01-24 02:31:59+00:00,𝕹𝖊𝖑𝖑𝖞 💙,Peru,67,0,0,[],@KarlaCalle @George_Forsyth Recibió su parte por apoyar a la corrupta de la Villaran en el NO a la  revocatoria.,-1
4,2021-01-24 02:28:57+00:00,sustracción de la materia gris,,55,0,0,[],@Guilleacmas @SalitaSin @George_Forsyth responde pe,-1
5,2021-01-24 02:23:26+00:00,Endrina Lander,Lima,13,0,0,[],@Guilleacmas @George_Forsyth  es el candidato de los grandes empresarios. Se ve que  la repartija estara  fuerte 💵💵💵.,-1
6,2021-01-24 01:57:20+00:00,John Carter,,81,0,1,[],@Luccio_lpx @George_Forsyth ¿quien?,-1
7,2021-01-24 01:41:16+00:00,Jose Rafael,"Lima, Peru",3220,0,3,[],Epale pajuo @George_Forsyth tu también eres VENECO https://t.co/XHYQng3wsY,-1
8,2021-01-24 01:36:34+00:00,David Paredes,Lima / CDMX / Toronto,904,0,1,"['Forsyth', 'Forzay', 'Elecciones2021', 'Peru', 'PeruEstaEnNuestrasManos']","¡Clarísimo!
¿Qué mérito tiene @George_Forsyth para querer ser Presidente del Perú?

#Forsyth #Forzay #Elecciones2021 #Peru #PeruEstaEnNuestrasManos https://t.co/rQ0AQafdKM",-1
9,2021-01-24 01:34:46+00:00,Juvenal QF,,6,0,0,[],"@florborja_5 @George_Forsyth Es verdad, una vez Fujimoristas. Siempre Fujimoristas. 🤣🤣🤣",-1
10,2021-01-24 01:28:23+00:00,Jota M.,En algún lugar de Macondo,1556,0,0,[],Bueno pajuo @George_Forsyth ¿tú no eres veneco también? https://t.co/YHBbc1qIas,-1
11,2021-01-24 00:54:35+00:00,Ale,,9,0,1,[],@Luccio_lpx @George_Forsyth Cómo hacerle entender a alguien que quiere votar por Forsyth para que no vote por Forsyth?,-1
12,2021-01-24 00:54:15+00:00,John Mendoza Pacheco,Lima,43,0,0,[],"@Luccio_lpx @George_Forsyth Veo 40 años a la gente diciendo eso, y siempre eligen lo peor de lo peor, a estas alturas no tenemos a nadie a quien elegir. Gane quien gane, no creo que tampoco termine su mandato. Son 20 listas?? Se imaginan ese congreso. Solo sigamos cayendo. Algun dia empezaremos a subir",-1
13,2021-01-24 00:39:11+00:00,Isac B.,,12,0,0,[],@ferlatorre @florborja_5 @RodolfoPerez_2 @George_Forsyth Te estas mirando al espejo? Deja la grifa ... aquí te va un kekito https://t.co/jBuZIRcfUt,-1
14,2021-01-24 00:38:31+00:00,Jean Monjarás,"Arequipa, Peru",18,0,0,[],"@ChavezMaximixe @2021canalN @canalN_ @George_Forsyth @MavilaHuertasC No lo dudo, Don Jorge. Ud. Es un respetado economista. Pero seguir a una persona que no hay forma de cómo liderarlo? Eso le motiva?",-1
15,2021-01-24 00:35:05+00:00,Fernando La Torre,Peru,50,0,0,[],@IsacB98032003 @florborja_5 @RodolfoPerez_2 @George_Forsyth enfermo mental detected...!,-1
16,2021-01-24 00:26:26+00:00,Isac B.,,12,0,1,[],"@ferlatorre @florborja_5 @RodolfoPerez_2 @George_Forsyth Te he insultado mi querido aborto fallido? El marxismo es una ideología nefasta q ha causado más de 100 M de muertos en el mundo. Y sorry, yo fui muy pobre para estudiar en Europa y con las justas hice mi MSc, mi PhD y mi MBA en USA...

Y me leído desde el capital al abtuduhring",-1
17,2021-01-24 00:14:08+00:00,Fernando La Torre,Peru,50,0,0,[],"@IsacB98032003 @florborja_5 @RodolfoPerez_2 @George_Forsyth y que tiene ver? un fujimorista es un DELINCUENTE o adulador de uno...un marxista es un seguidor de su libro “El Capital” ,que es objeto de estudio en las mejores universidades de aquí en Europa-Oxford,Göttingen o Jagellonian...en QUE cabeza de burro puede entrar esa comparación?",-1
18,2021-01-24 00:12:05+00:00,Manuelito,"Barranco, Peru",502,0,0,[],Que paso @George_Forsyth estas calladito. Explica que hacen ex fujimoristas en tu lista al @congresoperu https://t.co/l4dFE2KebF,-1
