indice,Fecha,Nombre,Ubicacion,Seguidores,Retweets,Favorito,Hashtags,Tweet,clasificacion
1,2021-01-25 20:10:55+00:00,victor prada cotrina,,194,0,0,[],"@VakulikP @abelgilvonio @Vero_Mendoza_F @CONFIEP Ah,ok sigue, entonces...mononeuronal!",-1
2,2021-01-25 20:07:36+00:00,Manuel Meza,Lima,139,0,0,[],@Ella_despeinada @claudiacisneros @Vero_Mendoza_F ¡Jamás!,-1
3,2021-01-25 20:07:25+00:00,JamirVF,"Lima, Peru",29,0,0,[],"@santoschilcano No solo el #3 de JP dice que ""Venezuela NO es una DICTADURA"" y alaba al chavismo.

Si no que, @sigridbazan tiene la misma línea.

Ya pues CHISTOSO, no quieras hacer creer que es un problema personal, cuando es el pensamiento de todo el partido JP y sobretodo de @Vero_Mendoza_F 🤦‍♂️ https://t.co/v5VIerFo2v",-1
4,2021-01-25 20:05:30+00:00,Alexis PM,,56,0,0,[],"@giordhanovl @TaniaRamirezF @Vero_Mendoza_F @Cuarto_Poder Tampoco, difícilmente mandaría al tacho al país, aunque por lo que dice peligraria el equilibrio fiscal, afortunadamente hay una ciudadanía vigilante y ya no estamos como en 1985 cuando Alan Damián mandaba al diablo la economía",-1
5,2021-01-25 20:04:55+00:00,Rafael Zevallos,,10,0,0,[],"@Vero_Mendoza_F Anda a cuba y Venezuela no vengas a decir sandeces, vaga",-1
6,2021-01-25 20:04:45+00:00,Roxene,,95,0,0,[],@DianaG72402903 @noticiAmerica @Vero_Mendoza_F Terrorismo!!! Ya te lavo el cerebro la izquierda,-1
7,2021-01-25 20:03:57+00:00,Jose Luix,,10,0,0,[],"@pedrofrancke @Vero_Mendoza_F @SudacaPeru @rmapalacios @jctafur Esta es nuestra izquierda, que sigue viviendo en el pasado.",-1
8,2021-01-25 20:01:09+00:00,D' Roca,,6,0,0,[],@JuntosporPeru @Vero_Mendoza_F Palabras palabras palabras....,-1
9,2021-01-25 20:01:03+00:00,Cesar,"Mexico, ME",700,0,1,[],"@beto959949355 @max_marcos_ @VeryNiceTrue @Vero_Mendoza_F Y que tampoco me ha dado nada. Yo contribuyo con mis impuestos y no me dan ningún servicio por lo que pago. Que queda? Seguir trabajando y saliendo adelante.
No a la izquierda destructora del sector privado y empobrecedora de las sociedades.",-1
10,2021-01-25 19:58:14+00:00,victor prada cotrina,,194,0,0,[],@VakulikP @abelgilvonio @Vero_Mendoza_F @CONFIEP Y porque sigues mononeuronal?,-1
